vtkOriginalIndices,Displacement:0,Displacement:1,Points:0,Points:1,Points:2,__vtkIsSelected__,arc_length,vtkValidPointMask
0,6.72825e-12,5.14514e-14,1,0,0,0,0,1
1,4.44265e-09,-6.66135e-11,1,0.01,0,0,0.01,1
2,8.87701e-09,-1.32808e-10,1,0.02,0,0,0.02,1
3,1.33098e-08,-1.98532e-10,1,0.03,0,0,0.03,1
4,1.7741e-08,-2.63784e-10,1,0.04,0,0,0.04,1
5,2.21707e-08,-3.28561e-10,1,0.05,0,0,0.05,1
6,2.65988e-08,-3.92864e-10,1,0.06,0,0,0.06,1
7,3.10253e-08,-4.56691e-10,1,0.07,0,0,0.07,1
8,3.54502e-08,-5.2004e-10,1,0.08,0,0,0.08,1
9,3.98736e-08,-5.8291e-10,1,0.09,0,0,0.09,1
10,4.42953e-08,-6.453e-10,1,0.1,0,0,0.1,1
11,4.87155e-08,-7.07209e-10,1,0.11,0,0,0.11,1
12,5.3134e-08,-7.68635e-10,1,0.12,0,0,0.12,1
13,5.7551e-08,-8.29578e-10,1,0.13,0,0,0.13,1
14,6.19663e-08,-8.90035e-10,1,0.14,0,0,0.14,1
15,6.63801e-08,-9.50005e-10,1,0.15,0,0,0.15,1
16,7.07922e-08,-1.00949e-09,1,0.16,0,0,0.16,1
17,7.52027e-08,-1.06848e-09,1,0.17,0,0,0.17,1
18,7.96115e-08,-1.12698e-09,1,0.18,0,0,0.18,1
19,8.40188e-08,-1.18499e-09,1,0.19,0,0,0.19,1
20,8.84244e-08,-1.24251e-09,1,0.2,0,0,0.2,1
21,9.28283e-08,-1.29954e-09,1,0.21,0,0,0.21,1
22,9.72306e-08,-1.35606e-09,1,0.22,0,0,0.22,1
23,1.01631e-07,-1.41209e-09,1,0.23,0,0,0.23,1
24,1.0603e-07,-1.46762e-09,1,0.24,0,0,0.24,1
25,1.10428e-07,-1.52265e-09,1,0.25,0,0,0.25,1
26,1.14823e-07,-1.57718e-09,1,0.26,0,0,0.26,1
27,1.19217e-07,-1.63121e-09,1,0.27,0,0,0.27,1
28,1.2361e-07,-1.68473e-09,1,0.28,0,0,0.28,1
29,1.28e-07,-1.73775e-09,1,0.29,0,0,0.29,1
30,1.32389e-07,-1.79026e-09,1,0.3,0,0,0.3,1
31,1.36777e-07,-1.84226e-09,1,0.31,0,0,0.31,1
32,1.41162e-07,-1.89375e-09,1,0.32,0,0,0.32,1
33,1.45546e-07,-1.94473e-09,1,0.33,0,0,0.33,1
34,1.49929e-07,-1.9952e-09,1,0.34,0,0,0.34,1
35,1.54309e-07,-2.04515e-09,1,0.35,0,0,0.35,1
36,1.58688e-07,-2.09459e-09,1,0.36,0,0,0.36,1
37,1.63065e-07,-2.14351e-09,1,0.37,0,0,0.37,1
38,1.6744e-07,-2.19191e-09,1,0.38,0,0,0.38,1
39,1.71814e-07,-2.2398e-09,1,0.39,0,0,0.39,1
40,1.76186e-07,-2.28716e-09,1,0.4,0,0,0.4,1
41,1.80556e-07,-2.334e-09,1,0.41,0,0,0.41,1
42,1.84925e-07,-2.38031e-09,1,0.42,0,0,0.42,1
43,1.89291e-07,-2.4261e-09,1,0.43,0,0,0.43,1
44,1.93656e-07,-2.47136e-09,1,0.44,0,0,0.44,1
45,1.98019e-07,-2.51609e-09,1,0.45,0,0,0.45,1
46,2.02381e-07,-2.56029e-09,1,0.46,0,0,0.46,1
47,2.06741e-07,-2.60396e-09,1,0.47,0,0,0.47,1
48,2.11099e-07,-2.64709e-09,1,0.48,0,0,0.48,1
49,2.15455e-07,-2.68969e-09,1,0.49,0,0,0.49,1
50,2.19809e-07,-2.73175e-09,1,0.5,0,0,0.5,1
51,2.24162e-07,-2.77328e-09,1,0.51,0,0,0.51,1
52,2.28512e-07,-2.81426e-09,1,0.52,0,0,0.52,1
53,2.32861e-07,-2.85471e-09,1,0.53,0,0,0.53,1
54,2.37209e-07,-2.89461e-09,1,0.54,0,0,0.54,1
55,2.41554e-07,-2.93397e-09,1,0.55,0,0,0.55,1
56,2.45898e-07,-2.97278e-09,1,0.56,0,0,0.56,1
57,2.50239e-07,-3.01104e-09,1,0.57,0,0,0.57,1
58,2.54579e-07,-3.04875e-09,1,0.58,0,0,0.58,1
59,2.58918e-07,-3.08591e-09,1,0.59,0,0,0.59,1
60,2.63254e-07,-3.12252e-09,1,0.6,0,0,0.6,1
61,2.67588e-07,-3.15858e-09,1,0.61,0,0,0.61,1
62,2.71921e-07,-3.19408e-09,1,0.62,0,0,0.62,1
63,2.76252e-07,-3.22902e-09,1,0.63,0,0,0.63,1
64,2.80581e-07,-3.26341e-09,1,0.64,0,0,0.64,1
65,2.84908e-07,-3.29723e-09,1,0.65,0,0,0.65,1
66,2.89233e-07,-3.33049e-09,1,0.66,0,0,0.66,1
67,2.93556e-07,-3.36319e-09,1,0.67,0,0,0.67,1
68,2.97878e-07,-3.39532e-09,1,0.68,0,0,0.68,1
69,3.02197e-07,-3.42688e-09,1,0.69,0,0,0.69,1
70,3.06515e-07,-3.45787e-09,1,0.7,0,0,0.7,1
71,3.10831e-07,-3.4883e-09,1,0.71,0,0,0.71,1
72,3.15144e-07,-3.51815e-09,1,0.72,0,0,0.72,1
73,3.19456e-07,-3.54742e-09,1,0.73,0,0,0.73,1
74,3.23767e-07,-3.57612e-09,1,0.74,0,0,0.74,1
75,3.28075e-07,-3.60424e-09,1,0.75,0,0,0.75,1
76,3.32381e-07,-3.63178e-09,1,0.76,0,0,0.76,1
77,3.36685e-07,-3.65874e-09,1,0.77,0,0,0.77,1
78,3.40988e-07,-3.68512e-09,1,0.78,0,0,0.78,1
79,3.45288e-07,-3.71091e-09,1,0.79,0,0,0.79,1
80,3.49587e-07,-3.73612e-09,1,0.8,0,0,0.8,1
81,3.53883e-07,-3.76074e-09,1,0.81,0,0,0.81,1
82,3.58178e-07,-3.78476e-09,1,0.82,0,0,0.82,1
83,3.6247e-07,-3.8082e-09,1,0.83,0,0,0.83,1
84,3.66761e-07,-3.83104e-09,1,0.84,0,0,0.84,1
85,3.7105e-07,-3.85328e-09,1,0.85,0,0,0.85,1
86,3.75336e-07,-3.87493e-09,1,0.86,0,0,0.86,1
87,3.79621e-07,-3.89598e-09,1,0.87,0,0,0.87,1
88,3.83904e-07,-3.91642e-09,1,0.88,0,0,0.88,1
89,3.88184e-07,-3.93626e-09,1,0.89,0,0,0.89,1
